hidden_layers,learning_rate,avg_rmse,std_rmse,avg_time_sec
"[128, 64, 32]",0.0005,54888.40038042405,1396.3420033619009,41.02788252830506
"[128, 64, 32]",0.001,54288.53466719787,1613.0440099915052,37.84780707359314
"[128, 64, 32]",0.002,53814.72852227627,826.6150733529101,36.31519212722778
"[256, 128, 64, 32]",0.0005,53398.29612831026,486.425595192936,61.728818035125734
"[256, 128, 64, 32]",0.001,53059.70608605503,601.4497460958327,51.83258948326111
"[256, 128, 64, 32]",0.002,52889.61324405753,1008.6374683374305,43.91032285690308
"[512, 256, 128, 64]",0.0005,52439.76299186131,809.2021523874878,70.16549315452576
"[512, 256, 128, 64]",0.001,52088.38919921508,900.1920852199154,63.258946895599365
"[512, 256, 128, 64]",0.002,52189.043067174614,1322.286299192773,56.28031873703003
