Dimension,Acc,F1,AUC
10,0.96085,0.9607810602923145,0.9663427086452778
12,0.9561666666666666,0.9565125432779448,0.9661191195983847
14,0.9583214285714285,0.9580772650545331,0.9691373965421658
16,0.9147812499999999,0.9159230528492521,0.9548163369154656
18,0.8719166666666667,0.869974263165358,0.9320230795982967
20,0.8231999999999999,0.8259779924967227,0.8834957174206972
