Dimension,Best_C,Mean_Acc,Std_Acc,Mean_F1,Std_F1,Mean_AUC,Std_AUC
10D,100.0,0.95415,0.003810183722604476,0.9540625810020621,0.003789267546367269,0.9541493226222659,0.0038089942960189884
12D,100.0,0.5782083333333333,0.00764478307954735,0.5831644852970849,0.008158302532386256,0.5781517306041791,0.007649367226641491
14D,100.0,0.5355714285714286,0.007344302248015391,0.5329865137189852,0.010085581337254968,0.535559670740852,0.007362157744577781
16D,100.0,0.51440625,0.008147984317455453,0.5180406398817704,0.00812807867056185,0.5143793853359377,0.008166047598059629
18D,100.0,0.5028055555555556,0.006837566439517399,0.5023330312000706,0.009045898609907028,0.50280511117138,0.006836344371992558
20D,100.0,0.497725,0.009170571138157108,0.4922839354358207,0.01190903871376714,0.49766887204569854,0.009214463511593054
